player,squad,position,games,minutes,minutes_90s,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_assists_pens_per90,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,xg_net,cost,points,ppg,ppc
Onel Hernández,Norwich City,"FW,MF",26.0,1384.0,15.4,0.0,0.0,0.0,0.0,0.07,0.13,0.2,0.2,0.17,0.06,0.23,0.17,0.23,-1.6,5.9,2.0,0.07692307692307693,0.3389830508474576
Son Heung-min,Tottenham,"FW,MF",30.0,2476.0,27.5,0.0,1.0,0.0,2.0,0.4,0.36,0.76,0.76,0.31,0.25,0.56,0.28,0.53,2.3,9.0,26.0,0.8666666666666667,2.888888888888889
Conor Hourihane,Aston Villa,MF,27.0,1534.0,17.0,0.0,0.0,4.0,0.0,0.18,0.29,0.47,0.47,0.1,0.3,0.4,0.1,0.4,1.3,6.0,3.0,0.1111111111111111,0.5
Callum Hudson-Odoi,Chelsea,FW,22.0,863.0,9.6,0.0,0.0,1.0,0.0,0.1,0.52,0.63,0.63,0.17,0.29,0.46,0.17,0.46,-0.7,5.9,1.0,0.045454545454545456,0.1694915254237288
Pierre Højbjerg,Southampton,MF,33.0,2752.0,30.6,0.0,0.0,5.0,0.0,0.0,0.03,0.03,0.03,0.09,0.07,0.15,0.09,0.15,-2.6,5.0,3.0,0.09090909090909091,0.6
Kelechi Iheanacho,Leicester City,FW,20.0,960.0,10.7,0.0,0.0,1.0,0.0,0.47,0.28,0.75,0.75,0.45,0.23,0.68,0.45,0.68,0.2,5.9,0.0,0.0,0.0
Danny Ings,Southampton,FW,38.0,2804.0,31.2,1.0,2.0,3.0,0.0,0.71,0.06,0.77,0.74,0.54,0.09,0.63,0.5,0.58,5.0,8.4,13.0,0.34210526315789475,1.5476190476190474
Alex Iwobi,Everton,"MF,FW",25.0,1596.0,17.7,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.13,0.13,0.26,0.13,0.26,-1.3,5.9,1.0,0.04,0.1694915254237288
Daniel James,Manchester Utd,FW,33.0,2287.0,25.4,0.0,0.0,4.0,0.0,0.12,0.24,0.35,0.35,0.14,0.16,0.3,0.14,0.3,-0.6,6.5,1.0,0.030303030303030304,0.15384615384615385
Gabriel Jesus,Manchester City,FW,34.0,2030.0,22.6,0.0,1.0,3.0,0.0,0.62,0.31,0.93,0.93,0.82,0.17,0.99,0.79,0.96,-4.6,9.5,6.0,0.17647058823529413,0.631578947368421
Raúl Jiménez,Wolves,FW,38.0,3236.0,36.0,4.0,4.0,3.0,0.0,0.47,0.17,0.64,0.53,0.4,0.15,0.56,0.32,0.47,2.5,8.5,14.0,0.3684210526315789,1.6470588235294117
Joelinton,Newcastle Utd,FW,38.0,2683.0,29.8,0.0,0.0,7.0,0.0,0.07,0.07,0.13,0.13,0.16,0.08,0.24,0.16,0.24,-2.8,5.9,2.0,0.05263157894736842,0.3389830508474576
Diogo Jota,Wolves,"FW,MF",34.0,2284.0,25.4,0.0,0.0,4.0,0.0,0.28,0.04,0.32,0.32,0.38,0.15,0.53,0.38,0.53,-2.7,6.4,0.0,0.0,0.0
Harry Kane,Tottenham,FW,29.0,2587.0,28.7,2.0,2.0,4.0,0.0,0.63,0.07,0.7,0.63,0.37,0.09,0.45,0.32,0.4,7.4,10.5,23.0,0.7931034482758621,2.1904761904761907
N'Golo Kanté,Chelsea,MF,22.0,1732.0,19.2,0.0,0.0,4.0,0.0,0.16,0.0,0.16,0.16,0.08,0.11,0.19,0.08,0.19,1.5,5.0,4.0,0.18181818181818182,0.8
Moise Kean,Everton,FW,29.0,852.0,9.5,0.0,0.0,1.0,0.0,0.21,0.21,0.42,0.42,0.45,0.11,0.56,0.45,0.56,-2.2,6.0,2.0,0.06896551724137931,0.3333333333333333
Naby Keïta,Liverpool,MF,18.0,815.0,9.1,0.0,0.0,1.0,0.0,0.22,0.33,0.55,0.55,0.17,0.25,0.42,0.17,0.42,0.4,5.4,4.0,0.2222222222222222,0.7407407407407407
Mateo Kovačić,Chelsea,MF,31.0,2073.0,23.0,0.0,0.0,8.0,0.0,0.04,0.13,0.17,0.17,0.06,0.08,0.14,0.06,0.14,-0.4,5.5,2.0,0.06451612903225806,0.36363636363636365
Alexandre Lacazette,Arsenal,FW,30.0,1874.0,20.8,0.0,0.0,8.0,0.0,0.48,0.19,0.67,0.67,0.41,0.15,0.56,0.41,0.56,1.5,8.5,14.0,0.4666666666666667,1.6470588235294117
Érik Lamela,Tottenham,"MF,FW",25.0,1215.0,13.5,0.0,0.0,3.0,0.0,0.15,0.07,0.22,0.22,0.2,0.12,0.32,0.2,0.32,-0.7,5.9,4.0,0.16,0.6779661016949152
Manuel Lanzini,West Ham,"MF,FW",24.0,1379.0,15.3,0.0,0.0,1.0,0.0,0.0,0.13,0.13,0.13,0.13,0.17,0.3,0.13,0.3,-2.0,6.5,0.0,0.0,0.0
Jesse Lingard,Manchester Utd,"MF,FW",22.0,935.0,10.4,0.0,0.0,3.0,0.0,0.1,0.0,0.1,0.1,0.26,0.09,0.35,0.26,0.35,-1.7,6.0,0.0,0.0,0.0
Giovani Lo Celso,Tottenham,"MF,FW",28.0,1492.0,16.6,0.0,0.0,6.0,0.0,0.0,0.12,0.12,0.12,0.08,0.12,0.2,0.08,0.2,-1.3,6.9,0.0,0.0,0.0
Shane Long,Southampton,FW,26.0,1395.0,15.5,0.0,0.0,0.0,0.0,0.13,0.13,0.26,0.26,0.3,0.09,0.4,0.3,0.4,-2.7,5.5,2.0,0.07692307692307693,0.36363636363636365
Sean Longstaff,Newcastle Utd,MF,23.0,1378.0,15.3,0.0,0.0,2.0,1.0,0.07,0.07,0.13,0.13,0.06,0.06,0.13,0.06,0.13,0.0,4.9,1.0,0.043478260869565216,0.2040816326530612
Douglas Luiz,Aston Villa,MF,36.0,2612.0,29.0,0.0,0.0,8.0,0.0,0.1,0.07,0.17,0.17,0.08,0.05,0.13,0.08,0.13,0.6,5.0,3.0,0.08333333333333333,0.6
John Lundstram,Sheffield Utd,MF,34.0,2458.0,27.3,0.0,0.0,5.0,0.0,0.18,0.11,0.29,0.29,0.19,0.09,0.28,0.19,0.28,-0.3,5.5,1.0,0.029411764705882353,0.18181818181818182
James Maddison,Leicester City,MF,31.0,2624.0,29.2,0.0,0.0,4.0,0.0,0.21,0.1,0.31,0.31,0.17,0.25,0.42,0.17,0.42,1.0,7.0,2.0,0.06451612903225806,0.2857142857142857
Riyad Mahrez,Manchester City,FW,33.0,1944.0,21.6,1.0,1.0,0.0,0.0,0.51,0.42,0.93,0.88,0.34,0.42,0.75,0.3,0.72,3.8,8.5,0.0,0.0,0.0
Sadio Mané,Liverpool,FW,35.0,2747.0,30.5,0.0,0.0,3.0,0.0,0.59,0.23,0.82,0.82,0.44,0.23,0.67,0.44,0.67,4.5,11.9,18.0,0.5142857142857142,1.5126050420168067
Anthony Martial,Manchester Utd,FW,32.0,2624.0,29.2,0.0,1.0,1.0,0.0,0.58,0.21,0.79,0.79,0.38,0.14,0.52,0.35,0.49,6.0,9.0,2.0,0.0625,0.2222222222222222
Juan Mata,Manchester Utd,"MF,FW",19.0,758.0,8.4,0.0,0.0,1.0,0.0,0.0,0.24,0.24,0.24,0.14,0.23,0.37,0.14,0.37,-1.2,6.0,0.0,0.0,0.0
Nemanja Matić,Manchester Utd,MF,21.0,1581.0,17.6,0.0,0.0,3.0,0.0,0.0,0.11,0.11,0.11,0.01,0.07,0.08,0.01,0.08,-0.2,5.0,0.0,0.0,0.0
Neal Maupay,Brighton,FW,37.0,2766.0,30.7,1.0,2.0,3.0,0.0,0.33,0.1,0.42,0.39,0.37,0.08,0.44,0.32,0.4,-1.2,6.5,18.0,0.4864864864864865,2.769230769230769
James McArthur,Crystal Palace,MF,37.0,3090.0,34.3,0.0,0.0,6.0,0.0,0.0,0.09,0.09,0.09,0.07,0.08,0.15,0.07,0.15,-2.4,5.5,5.0,0.13513513513513514,0.9090909090909091
Oliver McBurnie,Sheffield Utd,FW,36.0,2113.0,23.5,0.0,0.0,4.0,0.0,0.26,0.0,0.26,0.26,0.33,0.06,0.39,0.33,0.39,-1.7,6.0,2.0,0.05555555555555555,0.3333333333333333
James McCarthy,Crystal Palace,MF,33.0,1680.0,18.7,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.07,0.03,0.07,-0.5,5.5,5.0,0.15151515151515152,0.9090909090909091
John McGinn,Aston Villa,MF,28.0,2312.0,25.7,0.0,0.0,3.0,0.0,0.12,0.12,0.23,0.23,0.15,0.09,0.24,0.15,0.24,-0.9,5.5,2.0,0.07142857142857142,0.36363636363636365
David McGoldrick,Sheffield Utd,FW,28.0,1815.0,20.2,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.2,0.35,0.1,0.46,0.35,0.46,-5.1,5.5,2.0,0.07142857142857142,0.36363636363636365
Dwight McNeil,Burnley,MF,38.0,3338.0,37.1,0.0,0.0,5.0,0.0,0.05,0.16,0.22,0.22,0.06,0.18,0.24,0.06,0.24,-0.2,6.0,5.0,0.13157894736842105,0.8333333333333334
Scott McTominay,Manchester Utd,MF,27.0,1772.0,19.7,0.0,0.0,2.0,0.0,0.2,0.05,0.25,0.25,0.07,0.03,0.11,0.07,0.11,2.5,5.0,2.0,0.07407407407407407,0.4
Luka Milivojević,Crystal Palace,MF,31.0,2513.0,27.9,2.0,2.0,12.0,0.0,0.11,0.04,0.14,0.07,0.09,0.07,0.15,0.03,0.1,0.5,5.9,2.0,0.06451612903225806,0.3389830508474576
Aaron Mooy,Brighton,"MF,FW",31.0,2085.0,23.2,0.0,0.0,3.0,1.0,0.09,0.09,0.17,0.17,0.09,0.14,0.23,0.09,0.23,0.0,5.0,0.0,0.0,0.0
Wesley Moraes,Aston Villa,FW,21.0,1782.0,19.8,0.0,1.0,3.0,0.0,0.25,0.05,0.3,0.3,0.26,0.04,0.3,0.22,0.26,-0.2,6.0,0.0,0.0,0.0
Mason Mount,Chelsea,"MF,FW",37.0,2867.0,31.9,0.0,0.0,3.0,0.0,0.22,0.16,0.38,0.38,0.22,0.15,0.37,0.22,0.37,0.0,6.9,4.0,0.10810810810810811,0.5797101449275363
Lucas Moura,Tottenham,"FW,MF",35.0,2242.0,24.9,0.0,0.0,3.0,0.0,0.16,0.16,0.32,0.32,0.23,0.1,0.33,0.23,0.33,-1.7,7.0,4.0,0.11428571428571428,0.5714285714285714
Lys Mousset,Sheffield Utd,FW,30.0,1240.0,13.8,0.0,0.0,1.0,0.0,0.44,0.29,0.73,0.73,0.36,0.18,0.54,0.36,0.54,1.1,5.9,0.0,0.0,0.0
João Moutinho,Wolves,MF,38.0,3108.0,34.5,0.0,0.0,7.0,0.0,0.03,0.17,0.2,0.2,0.02,0.18,0.21,0.02,0.21,0.2,5.5,5.0,0.13157894736842105,0.9090909090909091
