player,position,squad,games,minutes,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,xg_per90,xa_per90,xg_xa_per90,dribble_tackles_pct,pressure_regain_pct,tackle_perc,block_int_clear,cost,points,ppg,ppc
Jarrad Branthwaite,DF,Everton,4.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,48.5,1.0,23.0,4.0,0.0,0.0,0.0
Dan Burn,DF,Brighton,34.0,2880.0,5.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,42.9,35.3,0.5714285714285714,252.0,4.5,1.0,0.029411764705882353,0.2222222222222222
Gary Cahill,DF,Crystal Palace,25.0,2167.0,1.0,0.0,0.0,0.04,0.04,0.05,0.01,0.06,40.0,33.0,0.6666666666666666,197.0,4.5,0.0,0.0,0.0
João Cancelo,DF,Manchester City,17.0,1208.0,4.0,0.0,0.0,0.0,0.0,0.04,0.13,0.17,40.9,33.9,0.5909090909090909,61.0,5.5,0.0,0.0,0.0
Calum Chambers,DF,Arsenal,14.0,1102.0,5.0,0.0,0.08,0.08,0.16,0.06,0.06,0.12,75.0,35.7,0.72,97.0,4.5,0.0,0.0,0.0
Ben Chilwell,DF,Leicester City,27.0,2373.0,3.0,0.0,0.11,0.11,0.23,0.04,0.13,0.17,32.2,28.0,0.5098039215686274,174.0,5.5,0.0,0.0,0.0
Andreas Christensen,DF,Chelsea,21.0,1751.0,5.0,0.0,0.0,0.0,0.0,0.04,0.06,0.09,45.8,36.5,0.4878048780487805,157.0,5.0,-1.0,-0.047619047619047616,-0.2
Ciaran Clark,DF,Newcastle Utd,14.0,1186.0,3.0,0.0,0.15,0.0,0.15,0.1,0.0,0.1,42.9,36.1,0.5454545454545454,136.0,4.5,0.0,0.0,0.0
Conor Coady,DF,Wolves,38.0,3420.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,50.0,33.7,0.5365853658536586,228.0,5.0,9.0,0.23684210526315788,1.8
Séamus Coleman,DF,Everton,27.0,1839.0,5.0,1.0,0.0,0.05,0.05,0.03,0.02,0.06,60.0,36.1,0.62,123.0,5.0,7.0,0.25925925925925924,1.4
Aaron Cresswell,DF,West Ham,31.0,2727.0,7.0,0.0,0.1,0.0,0.1,0.04,0.06,0.1,40.7,33.2,0.6041666666666666,191.0,5.0,2.0,0.06451612903225806,0.4
Diogo Dalot,DF,Manchester Utd,4.0,67.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,50.0,50.0,0.6666666666666666,7.0,5.0,0.0,0.0,0.0
Scott Dann,DF,Crystal Palace,16.0,1266.0,0.0,0.0,0.0,0.07,0.07,0.03,0.03,0.06,50.0,39.0,0.4166666666666667,111.0,4.5,7.0,0.4375,1.5555555555555556
Ben Davies,DF,Tottenham,18.0,1431.0,6.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,20.8,29.4,0.4482758620689655,134.0,5.0,3.0,0.16666666666666666,0.6
Lucas Digne,DF,Everton,35.0,3030.0,6.0,0.0,0.0,0.21,0.21,0.04,0.17,0.21,44.8,26.8,0.4482758620689655,260.0,6.1,13.0,0.37142857142857144,2.1311475409836067
Virgil van Dijk,DF,Liverpool,38.0,3420.0,1.0,0.0,0.13,0.03,0.16,0.07,0.03,0.11,40.0,34.6,0.6666666666666666,326.0,6.5,14.0,0.3684210526315789,2.1538461538461537
Issa Diop,DF,West Ham,32.0,2766.0,8.0,0.0,0.1,0.03,0.13,0.05,0.03,0.08,46.9,34.6,0.5,283.0,4.5,2.0,0.0625,0.4444444444444444
Matt Doherty,DF,Wolves,36.0,2839.0,1.0,0.0,0.13,0.1,0.22,0.16,0.05,0.22,52.0,28.2,0.5076923076923077,180.0,6.0,2.0,0.05555555555555555,0.3333333333333333
Shane Duffy,DF,Brighton,19.0,1238.0,2.0,0.0,0.07,0.0,0.07,0.11,0.0,0.11,22.2,34.0,0.5625,158.0,4.5,0.0,0.0,0.0
Paul Dummett,DF,Newcastle Utd,16.0,1228.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,60.0,24.5,0.21428571428571427,133.0,4.5,0.0,0.0,0.0
Lewis Dunk,DF,Brighton,36.0,3230.0,9.0,0.0,0.08,0.08,0.17,0.12,0.03,0.15,31.7,43.1,0.6511627906976745,287.0,5.0,8.0,0.2222222222222222,1.6
John Egan,DF,Sheffield Utd,36.0,3187.0,5.0,1.0,0.06,0.0,0.06,0.06,0.0,0.07,46.7,34.1,0.6,399.0,5.0,-2.0,-0.05555555555555555,-0.4
Ahmed Elmohamady,DF,Aston Villa,18.0,1031.0,1.0,0.0,0.09,0.09,0.17,0.02,0.23,0.25,45.5,25.7,0.68,53.0,4.5,0.0,0.0,0.0
Björn Engels,DF,Aston Villa,17.0,1447.0,1.0,0.0,0.06,0.0,0.06,0.05,0.0,0.05,45.5,35.8,0.4444444444444444,166.0,4.5,0.0,0.0,0.0
Jonny Evans,DF,Leicester City,38.0,3383.0,8.0,1.0,0.03,0.03,0.05,0.07,0.01,0.08,64.3,39.9,0.6458333333333334,382.0,5.5,0.0,0.0,0.0
Federico Fernández,DF,Newcastle Utd,32.0,2620.0,8.0,0.0,0.07,0.07,0.14,0.06,0.01,0.07,52.9,31.6,0.64,297.0,5.0,7.0,0.21875,1.4
Timothy Fosu-Mensah,DF,Manchester Utd,3.0,136.0,1.0,0.0,0.0,0.0,0.0,0.04,0.08,0.13,25.0,26.3,1.0,7.0,4.5,0.0,0.0,0.0
Juan Foyth,DF,Tottenham,4.0,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,66.7,35.7,0.5714285714285714,8.0,4.5,0.0,0.0,0.0
Ryan Fredericks,DF,West Ham,27.0,2237.0,7.0,0.0,0.0,0.12,0.12,0.01,0.1,0.1,50.8,29.8,0.5581395348837209,159.0,4.5,3.0,0.1111111111111111,0.6666666666666666
Christian Fuchs,DF,Leicester City,11.0,772.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,34.8,31.3,0.6,84.0,4.5,0.0,0.0,0.0
Eric García,DF,Manchester City,13.0,793.0,1.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,54.5,27.0,0.3333333333333333,72.0,5.0,0.0,0.0,0.0
Joe Gomez,DF,Liverpool,28.0,2004.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,45.5,39.7,0.5769230769230769,156.0,5.5,1.0,0.03571428571428571,0.18181818181818182
Frederic Guilbert,DF,Aston Villa,25.0,2041.0,7.0,0.0,0.0,0.09,0.09,0.02,0.06,0.08,45.9,27.6,0.4634146341463415,200.0,4.5,0.0,0.0,0.0
Kortney Hause,DF,Aston Villa,18.0,1545.0,3.0,0.0,0.06,0.0,0.06,0.13,0.01,0.14,50.0,40.1,0.8148148148148148,180.0,4.5,0.0,0.0,0.0
Rob Holding,DF,Arsenal,8.0,581.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,66.7,29.8,0.5,69.0,4.5,8.0,1.0,1.7777777777777777
Mason Holgate,DF,Everton,27.0,2054.0,5.0,0.0,0.0,0.13,0.13,0.1,0.02,0.12,56.8,31.8,0.56,209.0,4.9,0.0,0.0,0.0
Phil Jagielka,DF,Sheffield Utd,6.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,34.6,0.6666666666666666,39.0,4.0,0.0,0.0,0.0
Reece James,DF,Chelsea,24.0,1515.0,1.0,0.0,0.0,0.12,0.12,0.05,0.2,0.24,45.2,26.9,0.5476190476190477,108.0,4.5,0.0,0.0,0.0
Ben Johnson,DF,West Ham,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,66.7,16.7,0.5,27.0,4.0,0.0,0.0,0.0
