player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Eric Dier,eng ENG,"DF,MF",Tottenham,25,1994,19.0,15.0,1344.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.13,0.13,0.0,0.13,1.0,1.0,0.1,0.07,0.01,0.07,0.07,0.07,14.9,8.0,1.0,1.0,12.5,0.54,0.07,0.0,0.0,0.12,-1.0,-1.0,713.0,876.0,81.4,15425.0,4283.0,13.0,20.0,65.0,463.0,538.0,86.1,237.0,318.0,74.5,1.9,4.0,56.0,3.0,0.0,45.0,857.0,19.0,18.0,0.0,140.0,28.0,3.0,0.0,0.0,0.0,0.0,597.0,100.0,179.0,118.0,653.0,55.0,1.0,2.0,4.0,13.0,16.0,7.0,10.0,0.67,9.0,0.0,0.0,1.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,13.0,10.0,2.0,6.0,22.0,27.3,16.0,204.0,54.0,26.5,92.0,93.0,19.0,26.0,11.0,0.0,15.0,19.0,78.0,0.0,1035.0,118.0,475.0,547.0,61.0,11.0,1015.0,3.0,5.0,60.0,4.0,0.0,611.0,2911.0,1466.0,723.0,698.0,96.5,6.0,4.0,0.0,19.0,4.0,1.0,0.0,1.0,0.0,170.0,79.0,36.0,68.7
Lucas Digne,fr FRA,DF,Everton,26,1993,35.0,35.0,3030.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.21,0.21,0.0,0.21,1.5,1.5,5.7,0.04,0.17,0.21,0.04,0.21,33.7,29.0,5.0,13.0,17.2,0.86,0.15,0.0,0.0,0.05,-1.5,-1.5,1353.0,1946.0,69.5,25902.0,11352.0,15.0,82.0,18.3,1048.0,1287.0,81.4,290.0,577.0,50.3,1.3,70.0,97.0,42.0,24.0,302.0,1407.0,539.0,64.0,3.0,294.0,72.0,270.0,108.0,53.0,39.0,8.0,809.0,438.0,699.0,1281.0,104.0,112.0,367.0,7.0,6.0,33.0,35.0,90.0,104.0,3.09,58.0,38.0,2.0,3.0,3.0,11.0,0.33,8.0,3.0,0.0,0.0,0.0,0.0,87.0,39.0,58.0,22.0,7.0,30.0,67.0,44.8,37.0,496.0,133.0,26.8,249.0,156.0,91.0,69.0,10.0,0.0,59.0,46.0,145.0,1.0,2366.0,110.0,626.0,963.0,881.0,63.0,1827.0,25.0,43.0,58.1,27.0,2.0,1064.0,5744.0,3303.0,1288.0,1111.0,86.3,18.0,32.0,0.0,45.0,28.0,3.0,0.0,1.0,1.0,363.0,112.0,53.0,67.9
Virgil van Dijk,nl NED,DF,Liverpool,28,1991,38.0,38.0,3420.0,5.0,1.0,0.0,0.0,1.0,0.0,0.13,0.03,0.16,0.13,0.16,2.8,2.8,1.3,0.07,0.03,0.11,0.07,0.11,38.0,30.0,14.0,0.0,46.7,0.79,0.37,0.17,0.36,0.09,2.2,2.2,2791.0,3085.0,90.5,65378.0,18436.0,14.0,22.0,63.6,1736.0,1840.0,94.3,1041.0,1223.0,85.1,-0.3,7.0,228.0,9.0,0.0,156.0,3000.0,85.0,74.0,8.0,322.0,131.0,0.0,0.0,0.0,0.0,0.0,2330.0,265.0,490.0,345.0,2476.0,152.0,11.0,6.0,1.0,43.0,13.0,10.0,22.0,0.58,19.0,0.0,0.0,1.0,2.0,5.0,0.13,4.0,0.0,0.0,0.0,1.0,0.0,30.0,20.0,20.0,9.0,1.0,6.0,15.0,40.0,9.0,133.0,46.0,34.6,84.0,37.0,12.0,32.0,16.0,1.0,16.0,35.0,259.0,2.0,3465.0,340.0,1427.0,2086.0,108.0,49.0,3382.0,3.0,5.0,60.0,4.0,0.0,2321.0,9327.0,4883.0,2568.0,2514.0,97.9,2.0,2.0,0.0,16.0,25.0,1.0,0.0,0.0,0.0,505.0,183.0,43.0,81.0
Issa Diop,fr FRA,DF,West Ham,22,1997,32.0,31.0,2766.0,3.0,1.0,0.0,0.0,8.0,0.0,0.1,0.03,0.13,0.1,0.13,1.5,1.5,0.8,0.05,0.03,0.08,0.05,0.08,30.7,15.0,6.0,0.0,40.0,0.49,0.2,0.2,0.5,0.1,1.5,1.5,755.0,948.0,79.6,15502.0,5630.0,17.0,39.0,43.6,517.0,588.0,87.9,221.0,321.0,68.8,0.2,4.0,51.0,2.0,0.0,44.0,906.0,42.0,41.0,0.0,135.0,17.0,1.0,0.0,0.0,0.0,0.0,620.0,102.0,226.0,130.0,686.0,88.0,1.0,2.0,2.0,29.0,12.0,16.0,9.0,0.29,6.0,1.0,0.0,2.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,32.0,16.0,22.0,10.0,0.0,15.0,32.0,46.9,17.0,243.0,84.0,34.6,156.0,79.0,8.0,47.0,21.0,0.0,26.0,46.0,190.0,3.0,1268.0,238.0,698.0,600.0,34.0,22.0,1226.0,4.0,5.0,80.0,4.0,0.0,602.0,3976.0,1928.0,625.0,603.0,96.5,3.0,5.0,0.0,31.0,11.0,1.0,0.0,3.0,0.0,306.0,84.0,39.0,68.3
Moussa Djenepo,ml MLI,"MF,DF",Southampton,21,1998,18.0,10.0,928.0,2.0,2.0,0.0,0.0,4.0,1.0,0.19,0.19,0.39,0.19,0.39,2.5,2.5,1.3,0.24,0.12,0.37,0.24,0.37,10.3,20.0,7.0,0.0,35.0,1.94,0.68,0.1,0.29,0.13,-0.5,-0.5,191.0,264.0,72.3,2736.0,894.0,8.0,21.0,38.1,166.0,205.0,81.0,17.0,38.0,44.7,0.7,13.0,11.0,15.0,2.0,33.0,254.0,10.0,0.0,3.0,56.0,5.0,23.0,0.0,0.0,0.0,0.0,169.0,62.0,33.0,60.0,176.0,11.0,9.0,5.0,1.0,7.0,8.0,8.0,39.0,3.78,19.0,0.0,11.0,1.0,8.0,6.0,0.58,3.0,0.0,2.0,0.0,1.0,0.0,29.0,18.0,18.0,6.0,5.0,8.0,23.0,34.8,15.0,265.0,79.0,29.8,67.0,120.0,78.0,24.0,2.0,0.0,22.0,10.0,12.0,0.0,468.0,15.0,85.0,196.0,228.0,48.0,458.0,48.0,70.0,68.6,49.0,1.0,359.0,3030.0,2045.0,440.0,318.0,72.3,34.0,24.0,0.0,23.0,30.0,3.0,0.0,0.0,0.0,55.0,5.0,14.0,26.3
Matt Doherty,ie IRL,DF,Wolves,27,1992,36.0,32.0,2839.0,4.0,3.0,0.0,0.0,1.0,0.0,0.13,0.1,0.22,0.13,0.22,5.1,5.1,1.7,0.16,0.05,0.22,0.16,0.22,31.5,34.0,15.0,0.0,44.1,1.08,0.48,0.12,0.27,0.15,-1.1,-1.1,1369.0,1793.0,76.4,22390.0,9051.0,33.0,86.0,38.4,1133.0,1380.0,82.1,203.0,327.0,62.1,1.3,23.0,86.0,18.0,9.0,239.0,1454.0,339.0,5.0,1.0,293.0,23.0,44.0,0.0,0.0,0.0,0.0,887.0,479.0,427.0,75.0,1180.0,116.0,334.0,12.0,3.0,27.0,35.0,59.0,64.0,2.03,48.0,1.0,6.0,7.0,2.0,15.0,0.48,7.0,0.0,3.0,4.0,1.0,0.0,65.0,33.0,36.0,25.0,4.0,26.0,50.0,52.0,24.0,379.0,107.0,28.2,181.0,141.0,57.0,64.0,5.0,0.0,59.0,38.0,78.0,1.0,2157.0,82.0,508.0,1098.0,661.0,95.0,1822.0,29.0,52.0,55.8,30.0,5.0,1185.0,6275.0,4064.0,1542.0,1319.0,85.5,46.0,23.0,0.0,28.0,19.0,3.0,1.0,1.0,0.0,255.0,107.0,92.0,53.8
Abdoulaye Doucouré,fr FRA,MF,Watford,26,1993,37.0,36.0,3156.0,4.0,2.0,0.0,0.0,9.0,0.0,0.11,0.06,0.17,0.11,0.17,5.0,5.0,2.6,0.14,0.08,0.22,0.14,0.22,35.1,62.0,12.0,0.0,19.4,1.77,0.34,0.06,0.33,0.08,-1.0,-1.0,1302.0,1658.0,78.5,21942.0,4818.0,44.0,112.0,39.3,1029.0,1240.0,83.0,229.0,306.0,74.8,-0.6,33.0,119.0,31.0,4.0,110.0,1645.0,13.0,8.0,2.0,348.0,24.0,26.0,1.0,0.0,0.0,0.0,1171.0,297.0,190.0,260.0,1283.0,68.0,0.0,6.0,4.0,19.0,29.0,64.0,80.0,2.28,59.0,0.0,10.0,8.0,3.0,6.0,0.17,4.0,0.0,0.0,2.0,0.0,0.0,70.0,49.0,29.0,30.0,11.0,16.0,60.0,26.7,44.0,949.0,239.0,25.2,270.0,463.0,216.0,59.0,9.0,0.0,50.0,32.0,45.0,0.0,2065.0,74.0,421.0,1114.0,668.0,98.0,2053.0,49.0,78.0,62.8,51.0,2.0,1427.0,7286.0,3970.0,1619.0,1370.0,84.6,44.0,50.0,0.0,51.0,15.0,6.0,0.0,1.0,1.0,441.0,53.0,53.0,50.0
Thomas Doyle,eng ENG,"MF,FW",Manchester City,17,2001,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.46,0.0,0.46,0.46,0.46,0.2,1.0,1.0,0.0,100.0,5.63,5.63,0.0,0.0,0.08,-0.1,-0.1,19.0,19.0,100.0,279.0,26.0,0.0,0.0,0.0,17.0,17.0,100.0,2.0,2.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,20.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,16.0,7.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,19.0,100.0,20.0,19.0,19.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Danny Drinkwater,eng ENG,MF,Burnley,29,1990,1.0,1.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,20.0,55.0,183.0,39.0,0.0,3.0,0.0,10.0,12.0,83.3,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,9.0,3.0,14.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,23.0,5.0,21.7,10.0,10.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,26.0,2.0,6.0,19.0,1.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,11.0,43.0,5.0,16.0,11.0,68.8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
Danny Drinkwater,eng ENG,MF,Aston Villa,29,1990,4.0,4.0,259.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.03,0.01,0.04,0.03,0.04,2.9,2.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.05,-0.1,-0.1,136.0,167.0,81.4,2638.0,565.0,2.0,7.0,28.6,98.0,113.0,86.7,36.0,47.0,76.6,0.0,1.0,16.0,1.0,0.0,11.0,163.0,4.0,4.0,0.0,32.0,7.0,1.0,0.0,0.0,0.0,0.0,96.0,44.0,27.0,35.0,126.0,3.0,0.0,0.0,0.0,5.0,2.0,6.0,4.0,1.39,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,6.0,2.0,1.0,1.0,13.0,7.7,12.0,106.0,22.0,20.8,36.0,58.0,12.0,3.0,0.0,0.0,3.0,5.0,4.0,1.0,199.0,6.0,62.0,110.0,33.0,2.0,195.0,2.0,3.0,66.7,2.0,0.0,117.0,489.0,173.0,136.0,126.0,92.6,2.0,6.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,46.0,2.0,2.0,50.0
Josip Drmić,ch SUI,"FW,MF",Norwich City,26,1992,21.0,5.0,647.0,1.0,0.0,0.0,0.0,0.0,1.0,0.14,0.0,0.14,0.14,0.14,2.6,2.6,0.4,0.36,0.06,0.42,0.36,0.42,7.2,13.0,5.0,0.0,38.5,1.81,0.7,0.08,0.2,0.24,-1.6,-1.6,125.0,164.0,76.2,1674.0,187.0,7.0,14.0,50.0,107.0,125.0,85.6,11.0,25.0,44.0,-0.4,3.0,5.0,0.0,0.0,5.0,152.0,12.0,0.0,0.0,49.0,5.0,3.0,2.0,2.0,0.0,0.0,102.0,44.0,18.0,19.0,121.0,7.0,1.0,9.0,0.0,4.0,4.0,3.0,11.0,1.53,7.0,0.0,1.0,2.0,1.0,1.0,0.14,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,1.0,1.0,11.0,9.1,10.0,133.0,35.0,26.3,24.0,54.0,55.0,8.0,0.0,0.0,8.0,1.0,5.0,1.0,240.0,6.0,20.0,134.0,96.0,24.0,228.0,6.0,14.0,42.9,6.0,1.0,155.0,682.0,260.0,300.0,159.0,53.0,24.0,13.0,0.0,6.0,4.0,7.0,0.0,0.0,0.0,49.0,12.0,40.0,23.1
Martin Dúbravka,sk SVK,GK,Newcastle Utd,30,1989,38.0,38.0,3420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595.0,1093.0,54.4,25708.0,19289.0,3.0,5.0,60.0,176.0,182.0,96.7,416.0,906.0,45.9,0.0,0.0,19.0,0.0,0.0,2.0,607.0,486.0,148.0,0.0,122.0,34.0,0.0,0.0,0.0,0.0,0.0,267.0,38.0,788.0,48.0,849.0,1.0,1.0,122.0,7.0,34.0,6.0,2.0,2.0,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,3.0,1201.0,1030.0,1195.0,7.0,0.0,0.0,719.0,0.0,0.0,0.0,0.0,0.0,435.0,2614.0,1424.0,338.0,338.0,100.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0
Ondrej Duda,sk SVK,MF,Norwich City,24,1994,10.0,9.0,724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.0,0.1,0.13,0.23,0.1,0.23,8.0,10.0,3.0,2.0,30.0,1.24,0.37,0.0,0.0,0.08,-0.8,-0.8,298.0,382.0,78.0,4770.0,1184.0,14.0,27.0,51.9,239.0,271.0,88.2,45.0,84.0,53.6,-1.0,14.0,17.0,10.0,2.0,37.0,345.0,37.0,10.0,0.0,73.0,17.0,43.0,24.0,8.0,15.0,0.0,226.0,82.0,74.0,41.0,309.0,13.0,1.0,11.0,0.0,7.0,7.0,13.0,25.0,3.11,15.0,6.0,1.0,2.0,1.0,2.0,0.25,1.0,0.0,0.0,1.0,0.0,0.0,19.0,15.0,10.0,6.0,3.0,7.0,20.0,35.0,13.0,197.0,54.0,27.4,52.0,105.0,40.0,18.0,2.0,0.0,16.0,6.0,7.0,0.0,467.0,16.0,79.0,250.0,156.0,9.0,429.0,5.0,12.0,41.7,5.0,3.0,278.0,1230.0,526.0,401.0,307.0,76.6,14.0,3.0,0.0,9.0,13.0,2.0,0.0,0.0,0.0,66.0,8.0,20.0,28.6
Shane Duffy,ie IRL,DF,Brighton,27,1992,19.0,12.0,1238.0,1.0,0.0,0.0,0.0,2.0,0.0,0.07,0.0,0.07,0.07,0.07,1.5,1.5,0.0,0.11,0.0,0.11,0.11,0.11,13.8,6.0,1.0,0.0,16.7,0.44,0.07,0.17,1.0,0.24,-0.5,-0.5,515.0,613.0,84.0,12117.0,3501.0,5.0,11.0,45.5,311.0,349.0,89.1,199.0,253.0,78.7,0.0,1.0,26.0,4.0,0.0,24.0,577.0,36.0,32.0,0.0,98.0,35.0,1.0,0.0,0.0,0.0,0.0,391.0,86.0,136.0,39.0,482.0,48.0,4.0,8.0,1.0,16.0,3.0,7.0,5.0,0.36,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,10.0,5.0,1.0,4.0,18.0,22.2,14.0,100.0,34.0,34.0,71.0,27.0,2.0,21.0,8.0,0.0,13.0,21.0,116.0,0.0,800.0,124.0,503.0,304.0,35.0,16.0,766.0,2.0,5.0,40.0,3.0,0.0,420.0,2022.0,1047.0,465.0,455.0,97.8,6.0,2.0,0.0,14.0,10.0,0.0,0.0,0.0,0.0,136.0,63.0,17.0,78.8
Paul Dummett,wal WAL,DF,Newcastle Utd,27,1991,16.0,14.0,1228.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.01,0.01,0.0,0.01,13.6,1.0,1.0,0.0,100.0,0.07,0.07,0.0,0.0,0.05,-0.1,-0.1,358.0,502.0,71.3,6793.0,3372.0,3.0,14.0,21.4,283.0,330.0,85.8,72.0,158.0,45.6,-0.1,4.0,46.0,4.0,3.0,48.0,450.0,52.0,11.0,0.0,104.0,11.0,15.0,0.0,0.0,0.0,0.0,262.0,71.0,169.0,382.0,30.0,29.0,41.0,3.0,2.0,12.0,6.0,16.0,6.0,0.44,5.0,0.0,0.0,0.0,1.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,18.0,6.0,4.0,12.0,20.0,60.0,8.0,163.0,40.0,24.5,97.0,58.0,8.0,42.0,10.0,0.0,32.0,19.0,72.0,0.0,663.0,92.0,337.0,264.0,86.0,6.0,613.0,1.0,3.0,33.3,1.0,0.0,327.0,1291.0,647.0,358.0,335.0,93.6,3.0,1.0,0.0,4.0,6.0,0.0,0.0,0.0,1.0,121.0,35.0,23.0,60.3
Lewis Dunk,eng ENG,DF,Brighton,27,1991,36.0,36.0,3230.0,3.0,3.0,0.0,0.0,9.0,0.0,0.08,0.08,0.17,0.08,0.17,4.2,4.2,1.1,0.12,0.03,0.15,0.12,0.15,35.9,30.0,10.0,5.0,33.3,0.84,0.28,0.1,0.3,0.14,-1.2,-1.2,1913.0,2192.0,87.3,45038.0,13465.0,11.0,22.0,50.0,1215.0,1293.0,94.0,687.0,877.0,78.3,1.9,11.0,129.0,5.0,0.0,97.0,2094.0,98.0,66.0,1.0,262.0,116.0,1.0,0.0,0.0,0.0,0.0,1529.0,264.0,399.0,137.0,1858.0,106.0,32.0,19.0,7.0,51.0,22.0,9.0,25.0,0.7,23.0,2.0,0.0,0.0,0.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,43.0,28.0,31.0,12.0,0.0,13.0,41.0,31.7,28.0,248.0,107.0,43.1,164.0,72.0,12.0,71.0,37.0,3.0,34.0,54.0,162.0,1.0,2547.0,436.0,1559.0,1029.0,107.0,43.0,2448.0,3.0,7.0,42.9,3.0,0.0,1596.0,8765.0,4727.0,1737.0,1712.0,98.6,7.0,10.0,0.0,19.0,19.0,1.0,0.0,0.0,0.0,410.0,84.0,44.0,65.6
Ederson,br BRA,GK,Manchester City,25,1993,35.0,35.0,3071.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.0,1063.0,87.2,23484.0,13255.0,1.0,1.0,100.0,579.0,584.0,99.1,347.0,478.0,72.6,-0.1,1.0,11.0,0.0,0.0,0.0,878.0,185.0,45.0,1.0,117.0,38.0,0.0,0.0,0.0,0.0,0.0,790.0,59.0,214.0,737.0,143.0,3.0,1.0,161.0,3.0,17.0,4.0,1.0,4.0,0.12,4.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,7.0,2.0,28.6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1133.0,947.0,1121.0,25.0,0.0,0.0,950.0,0.0,0.0,0.0,0.0,0.0,702.0,3209.0,2148.0,668.0,665.0,99.6,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0
John Egan,ie IRL,DF,Sheffield Utd,26,1992,36.0,36.0,3187.0,2.0,0.0,0.0,0.0,5.0,1.0,0.06,0.0,0.06,0.06,0.06,2.3,2.3,0.1,0.06,0.0,0.07,0.06,0.07,35.4,28.0,5.0,0.0,17.9,0.79,0.14,0.07,0.4,0.08,-0.3,-0.3,1017.0,1212.0,83.9,24161.0,6506.0,10.0,20.0,50.0,603.0,671.0,89.9,404.0,521.0,77.5,-0.1,1.0,67.0,2.0,0.0,73.0,1180.0,32.0,28.0,0.0,190.0,49.0,2.0,0.0,0.0,0.0,0.0,768.0,155.0,289.0,142.0,894.0,114.0,4.0,4.0,2.0,30.0,2.0,6.0,6.0,0.17,3.0,0.0,0.0,3.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,45.0,27.0,32.0,13.0,0.0,21.0,45.0,46.7,24.0,296.0,101.0,34.1,209.0,80.0,7.0,73.0,33.0,0.0,40.0,56.0,270.0,4.0,1670.0,248.0,896.0,792.0,65.0,47.0,1638.0,3.0,3.0,100.0,3.0,1.0,803.0,4700.0,2585.0,861.0,831.0,96.5,8.0,1.0,1.0,33.0,20.0,1.0,0.0,1.0,0.0,370.0,140.0,57.0,71.1
Harvey Elliot,eng ENG,DF,Liverpool,16,2003,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,80.0,204.0,79.0,0.0,0.0,0.0,10.0,11.0,90.9,2.0,4.0,50.0,0.0,0.0,2.0,1.0,1.0,4.0,11.0,4.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,2.0,0.0,8.0,3.0,4.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,5.0,11.0,0.0,12.0,1.0,1.0,100.0,1.0,0.0,10.0,44.0,13.0,14.0,11.0,78.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ahmed Elmohamady,eg EGY,DF,Aston Villa,31,1987,18.0,11.0,1031.0,1.0,1.0,0.0,0.0,1.0,0.0,0.09,0.09,0.17,0.09,0.17,0.2,0.2,2.6,0.02,0.23,0.25,0.02,0.25,11.5,5.0,1.0,0.0,20.0,0.44,0.09,0.2,1.0,0.05,0.8,0.8,484.0,633.0,76.5,9323.0,3709.0,6.0,22.0,27.3,376.0,430.0,87.4,102.0,181.0,56.4,-1.6,19.0,42.0,22.0,16.0,78.0,533.0,100.0,6.0,0.0,102.0,12.0,58.0,0.0,0.0,0.0,0.0,304.0,136.0,193.0,7.0,482.0,30.0,94.0,1.0,3.0,9.0,18.0,14.0,28.0,2.44,27.0,1.0,0.0,0.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,25.0,17.0,17.0,6.0,2.0,10.0,22.0,45.5,12.0,109.0,28.0,25.7,56.0,40.0,13.0,11.0,5.0,0.0,6.0,13.0,29.0,0.0,718.0,48.0,211.0,327.0,240.0,17.0,622.0,6.0,9.0,66.7,7.0,0.0,429.0,2352.0,1408.0,462.0,424.0,91.8,4.0,5.0,0.0,13.0,5.0,2.0,0.0,0.0,0.0,114.0,25.0,20.0,55.6
