player,squad,position,games,minutes,minutes_90s,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_assists_pens_per90,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,xg_net,cost,points,ppg,ppc,pen_conv
Jordan Ayew,Crystal Palace,"FW,MF",37.0,3148.0,35.0,0.0,6.0,0.0,0.26,0.06,0.31,0.31,0.18,0.05,0.24,0.18,0.24,2.7,6.0,132.0,3.5675675675675675,22.0,0.0
Ross Barkley,Chelsea,MF,21.0,1103.0,12.3,0.0,0.0,0.0,0.08,0.33,0.41,0.41,0.17,0.22,0.4,0.17,0.4,-1.1,6.0,61.0,2.9047619047619047,10.166666666666666,0.0
Ashley Barnes,Burnley,FW,19.0,1352.0,15.0,1.0,4.0,0.0,0.4,0.0,0.4,0.33,0.37,0.03,0.41,0.32,0.36,0.4,6.0,61.0,3.210526315789474,10.166666666666666,1.0
Harvey Barnes,Leicester City,"MF,FW",36.0,2083.0,23.1,0.0,0.0,0.0,0.26,0.35,0.6,0.6,0.37,0.15,0.52,0.37,0.52,-2.6,6.0,61.0,1.6944444444444444,10.166666666666666,0.0
Christian Benteke,Crystal Palace,FW,24.0,1261.0,14.0,0.0,4.0,1.0,0.14,0.07,0.21,0.21,0.35,0.15,0.5,0.35,0.5,-2.9,5.5,42.0,1.75,7.636363636363637,0.0
Sander Berge,Sheffield Utd,MF,14.0,943.0,10.5,0.0,0.0,0.0,0.1,0.1,0.19,0.19,0.04,0.04,0.08,0.04,0.08,0.5,5.0,40.0,2.857142857142857,8.0,0.0
Bernard,Everton,"MF,FW",27.0,1280.0,14.2,0.0,2.0,0.0,0.21,0.14,0.35,0.35,0.08,0.14,0.22,0.08,0.22,1.9,6.0,72.0,2.6666666666666665,12.0,0.0
Yves Bissouma,Brighton,MF,22.0,1259.0,14.0,0.0,4.0,0.0,0.07,0.0,0.07,0.07,0.03,0.01,0.04,0.03,0.04,0.6,4.5,39.0,1.7727272727272727,8.666666666666666,0.0
Sofiane Boufal,Southampton,"MF,FW",20.0,764.0,8.5,0.0,2.0,0.0,0.0,0.24,0.24,0.24,0.12,0.32,0.44,0.12,0.44,-1.0,5.5,34.0,1.7,6.181818181818182,0.0
Jarrod Bowen,West Ham,FW,13.0,917.0,10.2,0.0,0.0,0.0,0.1,0.39,0.49,0.49,0.17,0.22,0.4,0.17,0.4,-0.8,6.5,44.0,3.3846153846153846,6.769230769230769,0.0
Josh Brownhill,Burnley,MF,10.0,805.0,8.9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,-0.5,5.0,21.0,2.1,4.2,0.0
Dominic Calvert-Lewin,Everton,FW,36.0,2626.0,29.2,0.0,9.0,0.0,0.45,0.03,0.48,0.48,0.48,0.03,0.51,0.48,0.51,-0.9,7.0,126.0,3.5,18.0,0.0
Dani Ceballos,Arsenal,MF,24.0,1692.0,18.8,0.0,1.0,0.0,0.0,0.11,0.11,0.11,0.03,0.1,0.12,0.03,0.12,-0.5,5.0,57.0,2.375,11.4,0.0
Hamza Choudhury,Leicester City,MF,20.0,893.0,9.9,0.0,4.0,1.0,0.1,0.1,0.2,0.2,0.05,0.01,0.05,0.05,0.05,0.5,5.0,35.0,1.75,7.0,0.0
Aaron Connolly,Brighton,FW,24.0,1258.0,14.0,0.0,0.0,0.0,0.21,0.07,0.29,0.29,0.22,0.02,0.24,0.22,0.24,-0.1,5.5,61.0,2.5416666666666665,11.090909090909092,0.0
Jack Cork,Burnley,MF,30.0,2613.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,-1.7,5.0,70.0,2.3333333333333335,14.0,0.0
Tom Davies,Everton,MF,30.0,2027.0,22.5,0.0,8.0,0.0,0.04,0.0,0.04,0.04,0.08,0.01,0.1,0.08,0.1,-0.9,5.5,59.0,1.9666666666666666,10.727272727272727,0.0
Kevin De Bruyne,Manchester City,MF,35.0,2791.0,31.0,2.0,3.0,0.0,0.42,0.64,1.06,1.0,0.24,0.59,0.84,0.2,0.79,5.4,11.5,251.0,7.171428571428572,21.82608695652174,1.0
Fabian Delph,Everton,MF,16.0,1190.0,13.2,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,-0.1,5.0,24.0,1.5,4.8,0.0
Christian Eriksen,Tottenham,"MF,FW",20.0,1097.0,12.2,0.0,5.0,0.0,0.16,0.16,0.33,0.33,0.16,0.16,0.32,0.16,0.32,0.1,5.5,37.0,1.85,6.7272727272727275,0.0
Bruno Fernandes,Manchester Utd,MF,14.0,1186.0,13.2,4.0,2.0,0.0,0.61,0.53,1.14,0.83,0.45,0.19,0.64,0.22,0.41,2.1,10.5,117.0,8.357142857142858,11.142857142857142,1.0
Roberto Firmino,Liverpool,FW,38.0,2988.0,33.2,0.0,0.0,0.0,0.27,0.24,0.51,0.51,0.4,0.18,0.59,0.4,0.59,-4.4,9.5,155.0,4.078947368421052,16.31578947368421,0.0
