player,position,squad,games,minutes,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,xg_per90,xa_per90,xg_xa_per90,dribble_tackles_pct,pressure_regain_pct,tackle_perc,block_int_clear,cost,points,ppg,ppc
Conor Coady,DF,Wolves,38.0,3420.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,50.0,33.7,0.5365853658536586,228.0,5.0,118.0,3.1052631578947367,23.6
Séamus Coleman,DF,Everton,27.0,1839.0,5.0,1.0,0.0,0.05,0.05,0.03,0.02,0.06,60.0,36.1,0.62,123.0,5.0,55.0,2.037037037037037,11.0
Aaron Cresswell,DF,West Ham,31.0,2727.0,7.0,0.0,0.1,0.0,0.1,0.04,0.06,0.1,40.7,33.2,0.6041666666666666,191.0,5.0,79.0,2.5483870967741935,15.8
Diogo Dalot,DF,Manchester Utd,4.0,67.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,50.0,50.0,0.6666666666666666,7.0,5.0,4.0,1.0,0.8
Scott Dann,DF,Crystal Palace,16.0,1266.0,0.0,0.0,0.0,0.07,0.07,0.03,0.03,0.06,50.0,39.0,0.4166666666666667,111.0,4.5,51.0,3.1875,11.333333333333334
Ben Davies,DF,Tottenham,18.0,1431.0,6.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,20.8,29.4,0.4482758620689655,134.0,5.0,41.0,2.2777777777777777,8.2
Lucas Digne,DF,Everton,35.0,3030.0,6.0,0.0,0.0,0.21,0.21,0.04,0.17,0.21,44.8,26.8,0.4482758620689655,260.0,6.0,120.0,3.4285714285714284,20.0
Virgil van Dijk,DF,Liverpool,38.0,3420.0,1.0,0.0,0.13,0.03,0.16,0.07,0.03,0.11,40.0,34.6,0.6666666666666666,326.0,6.5,178.0,4.684210526315789,27.384615384615383
Issa Diop,DF,West Ham,32.0,2766.0,8.0,0.0,0.1,0.03,0.13,0.05,0.03,0.08,46.9,34.6,0.5,283.0,4.5,76.0,2.375,16.88888888888889
Matt Doherty,DF,Wolves,36.0,2839.0,1.0,0.0,0.13,0.1,0.22,0.16,0.05,0.22,52.0,28.2,0.5076923076923077,180.0,6.0,167.0,4.638888888888889,27.833333333333332
